country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Bangka Belitung,Shifting cultivation,2022,90
Indonesia,Bangka Belitung,Wildfire,2022,350
Indonesia,Bangka Belitung,Hard commodities,2023,1269
Indonesia,Bangka Belitung,Logging,2023,123
Indonesia,Bangka Belitung,Other natural disturbances,2023,63
Indonesia,Bangka Belitung,Permanent agriculture,2023,47467
Indonesia,Bangka Belitung,Settlements & Infrastructure,2023,260
Indonesia,Bangka Belitung,Shifting cultivation,2023,281
Indonesia,Bangka Belitung,Wildfire,2023,924
Indonesia,Bangka Belitung,Hard commodities,2024,821
Indonesia,Bangka Belitung,Logging,2024,244
Indonesia,Bangka Belitung,Other natural disturbances,2024,38
Indonesia,Bangka Belitung,Permanent agriculture,2024,28754
Indonesia,Bangka Belitung,Settlements & Infrastructure,2024,115
Indonesia,Bangka Belitung,Shifting cultivation,2024,129
Indonesia,Bangka Belitung,Wildfire,2024,957
Indonesia,Bangka Belitung,Hard commodities,2025,820
Indonesia,Bangka Belitung,Logging,2025,348
Indonesia,Bangka Belitung,Other natural disturbances,2025,38
Indonesia,Bangka Belitung,Permanent agriculture,2025,28890
Indonesia,Bangka Belitung,Settlements & Infrastructure,2025,115
Indonesia,Bangka Belitung,Shifting cultivation,2025,246
Indonesia,Bangka Belitung,Wildfire,2025,936
Indonesia,Banten,Hard commodities,2001,7
Indonesia,Banten,Logging,2001,12
Indonesia,Banten,Other natural disturbances,2001,15
Indonesia,Banten,Permanent agriculture,2001,730
Indonesia,Banten,Settlements & Infrastructure,2001,30
Indonesia,Banten,Shifting cultivation,2001,238
Indonesia,Banten,Hard commodities,2002,26
Indonesia,Banten,Logging,2002,5
Indonesia,Banten,Other natural disturbances,2002,11
Indonesia,Banten,Permanent agriculture,2002,1375
Indonesia,Banten,Settlements & Infrastructure,2002,33
Indonesia,Banten,Shifting cultivation,2002,294
Indonesia,Banten,Wildfire,2002,0
Indonesia,Banten,Hard commodities,2003,9
Indonesia,Banten,Logging,2003,5
Indonesia,Banten,Other natural disturbances,2003,5
Indonesia,Banten,Permanent agriculture,2003,191
Indonesia,Banten,Settlements & Infrastructure,2003,19
Indonesia,Banten,Shifting cultivation,2003,58
Indonesia,Banten,Hard commodities,2004,14
Indonesia,Banten,Logging,2004,61
Indonesia,Banten,Other natural disturbances,2004,11
Indonesia,Banten,Permanent agriculture,2004,1006
Indonesia,Banten,Settlements & Infrastructure,2004,44
Indonesia,Banten,Shifting cultivation,2004,246
Indonesia,Banten,Hard commodities,2005,7
Indonesia,Banten,Logging,2005,14
Indonesia,Banten,Other natural disturbances,2005,9
Indonesia,Banten,Permanent agriculture,2005,332
Indonesia,Banten,Settlements & Infrastructure,2005,34
Indonesia,Banten,Shifting cultivation,2005,137
Indonesia,Banten,Wildfire,2005,0
Indonesia,Banten,Hard commodities,2006,27
Indonesia,Banten,Logging,2006,26
Indonesia,Banten,Other natural disturbances,2006,4
Indonesia,Banten,Permanent agriculture,2006,1590
Indonesia,Banten,Settlements & Infrastructure,2006,70
Indonesia,Banten,Shifting cultivation,2006,197
Indonesia,Banten,Wildfire,2006,0
Indonesia,Banten,Hard commodities,2007,18
Indonesia,Banten,Logging,2007,1
Indonesia,Banten,Other natural disturbances,2007,7
Indonesia,Banten,Permanent agriculture,2007,822
Indonesia,Banten,Settlements & Infrastructure,2007,66
Indonesia,Banten,Shifting cultivation,2007,133
Indonesia,Banten,Hard commodities,2008,21
Indonesia,Banten,Logging,2008,4
Indonesia,Banten,Other natural disturbances,2008,6
Indonesia,Banten,Permanent agriculture,2008,733
Indonesia,Banten,Settlements & Infrastructure,2008,32
Indonesia,Banten,Shifting cultivation,2008,125
Indonesia,Banten,Wildfire,2008,0
Indonesia,Banten,Hard commodities,2009,29
Indonesia,Banten,Logging,2009,3
