country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Nusa Tenggara Barat,2016,2187284
Indonesia,Nusa Tenggara Timur,2016,3435051
Indonesia,Papua,2016,60248910
Indonesia,Papua Barat,2016,20298043
Indonesia,Riau,2016,99615055
Indonesia,Sulawesi Barat,2016,9073942
Indonesia,Sulawesi Selatan,2016,20136317
Indonesia,Sulawesi Tengah,2016,41351849
Indonesia,Sulawesi Tenggara,2016,25375744
Indonesia,Sulawesi Utara,2016,5876159
Indonesia,Sumatera Barat,2016,25274452
Indonesia,Sumatera Selatan,2016,259898327
Indonesia,Sumatera Utara,2016,39254197
Indonesia,Yogyakarta,2016,35212
Indonesia,Aceh,2017,27096289
Indonesia,Bali,2017,155909
Indonesia,Bangka Belitung,2017,13000753
Indonesia,Banten,2017,2111142
Indonesia,Bengkulu,2017,19057861
Indonesia,Gorontalo,2017,5234779
Indonesia,Jakarta Raya,2017,459
Indonesia,Jambi,2017,58927048
Indonesia,Jawa Barat,2017,3403260
Indonesia,Jawa Tengah,2017,2260496
Indonesia,Jawa Timur,2017,2844597
Indonesia,Kalimantan Barat,2017,110996176
Indonesia,Kalimantan Selatan,2017,22791181
Indonesia,Kalimantan Tengah,2017,69685579
Indonesia,Kalimantan Timur,2017,93990243
Indonesia,Kalimantan Utara,2017,25389196
Indonesia,Kepulauan Riau,2017,4147223
Indonesia,Lampung,2017,7209609
Indonesia,Maluku,2017,5205784
Indonesia,Maluku Utara,2017,8173332
Indonesia,Nusa Tenggara Barat,2017,3409763
Indonesia,Nusa Tenggara Timur,2017,4927387
Indonesia,Papua,2017,37163762
Indonesia,Papua Barat,2017,11979540
Indonesia,Riau,2017,71514497
Indonesia,Sulawesi Barat,2017,8372645
Indonesia,Sulawesi Selatan,2017,15644196
Indonesia,Sulawesi Tengah,2017,25273899
Indonesia,Sulawesi Tenggara,2017,18371326
Indonesia,Sulawesi Utara,2017,4203060
Indonesia,Sumatera Barat,2017,32965737
Indonesia,Sumatera Selatan,2017,93596415
Indonesia,Sumatera Utara,2017,34494313
Indonesia,Yogyakarta,2017,59093
Indonesia,Aceh,2018,27962456
Indonesia,Bali,2018,160608
Indonesia,Bangka Belitung,2018,10346117
Indonesia,Banten,2018,2126015
Indonesia,Bengkulu,2018,17475093
Indonesia,Gorontalo,2018,5434734
Indonesia,Jakarta Raya,2018,0
Indonesia,Jambi,2018,45891675
Indonesia,Jawa Barat,2018,2731172
Indonesia,Jawa Tengah,2018,1687871
Indonesia,Jawa Timur,2018,2697431
Indonesia,Kalimantan Barat,2018,98167253
Indonesia,Kalimantan Selatan,2018,22308068
Indonesia,Kalimantan Tengah,2018,77290523
Indonesia,Kalimantan Timur,2018,106334364
Indonesia,Kalimantan Utara,2018,27563305
Indonesia,Kepulauan Riau,2018,3307800
Indonesia,Lampung,2018,6048312
Indonesia,Maluku,2018,7896204
Indonesia,Maluku Utara,2018,9450256
Indonesia,Nusa Tenggara Barat,2018,4520196
Indonesia,Nusa Tenggara Timur,2018,2513686
Indonesia,Papua,2018,25271638
Indonesia,Papua Barat,2018,15874932
Indonesia,Riau,2018,53064102
Indonesia,Sulawesi Barat,2018,8645005
Indonesia,Sulawesi Selatan,2018,12377528
Indonesia,Sulawesi Tengah,2018,25371329
Indonesia,Sulawesi Tenggara,2018,15932135
Indonesia,Sulawesi Utara,2018,5437316
Indonesia,Sumatera Barat,2018,22558073
Indonesia,Sumatera Selatan,2018,79977142
Indonesia,Sumatera Utara,2018,30288871
Indonesia,Yogyakarta,2018,69539
Indonesia,Aceh,2019,17827200
Indonesia,Bali,2019,430049
Indonesia,Bangka Belitung,2019,10782181
Indonesia,Banten,2019,2872952
Indonesia,Bengkulu,2019,12405984
Indonesia,Gorontalo,2019,7253711
Indonesia,Jakarta Raya,2019,0
Indonesia,Jambi,2019,44534783
Indonesia,Jawa Barat,2019,4253331
Indonesia,Jawa Tengah,2019,1817129
Indonesia,Jawa Timur,2019,3169348
Indonesia,Kalimantan Barat,2019,92649408
Indonesia,Kalimantan Selatan,2019,26464933
Indonesia,Kalimantan Tengah,2019,88029150
Indonesia,Kalimantan Timur,2019,97253433
Indonesia,Kalimantan Utara,2019,21489567
Indonesia,Kepulauan Riau,2019,4601650
Indonesia,Lampung,2019,7389107
Indonesia,Maluku,2019,12074296
Indonesia,Maluku Utara,2019,10838621
Indonesia,Nusa Tenggara Barat,2019,4841510
Indonesia,Nusa Tenggara Timur,2019,3894210
Indonesia,Papua,2019,25233421
Indonesia,Papua Barat,2019,12783305
