country,subnational1,threshold,year,tree_cover_loss_ha
Indonesia,Sulawesi Tenggara,30,2015,43540
Indonesia,Sulawesi Utara,30,2015,15597
Indonesia,Sumatera Barat,30,2015,22500
Indonesia,Sumatera Selatan,30,2015,169039
Indonesia,Sumatera Utara,30,2015,53040
Indonesia,Yogyakarta,30,2015,42
Indonesia,Aceh,30,2016,50074
Indonesia,Bali,30,2016,156
Indonesia,Bangka Belitung,30,2016,58203
Indonesia,Banten,30,2016,1970
Indonesia,Bengkulu,30,2016,24378
Indonesia,Gorontalo,30,2016,10911
Indonesia,Jakarta Raya,30,2016,0
Indonesia,Jambi,30,2016,157247
Indonesia,Jawa Barat,30,2016,3656
Indonesia,Jawa Tengah,30,2016,2285
Indonesia,Jawa Timur,30,2016,3188
Indonesia,Kalimantan Barat,30,2016,286374
Indonesia,Kalimantan Selatan,30,2016,65747
Indonesia,Kalimantan Tengah,30,2016,492974
Indonesia,Kalimantan Timur,30,2016,313957
Indonesia,Kalimantan Utara,30,2016,38489
Indonesia,Kepulauan Riau,30,2016,13058
Indonesia,Lampung,30,2016,16241
Indonesia,Maluku,30,2016,27623
Indonesia,Maluku Utara,30,2016,26859
Indonesia,Nusa Tenggara Barat,30,2016,4028
Indonesia,Nusa Tenggara Timur,30,2016,7367
Indonesia,Papua,30,2016,83053
Indonesia,Papua Barat,30,2016,26816
Indonesia,Riau,30,2016,147085
Indonesia,Sulawesi Barat,30,2016,13677
Indonesia,Sulawesi Selatan,30,2016,30886
Indonesia,Sulawesi Tengah,30,2016,74262
Indonesia,Sulawesi Tenggara,30,2016,38445
Indonesia,Sulawesi Utara,30,2016,8781
Indonesia,Sumatera Barat,30,2016,39172
Indonesia,Sumatera Selatan,30,2016,275754
Indonesia,Sumatera Utara,30,2016,79283
Indonesia,Yogyakarta,30,2016,66
Indonesia,Aceh,30,2017,45814
Indonesia,Bali,30,2017,263
Indonesia,Bangka Belitung,30,2017,25558
Indonesia,Banten,30,2017,3495
Indonesia,Bengkulu,30,2017,27233
Indonesia,Gorontalo,30,2017,7869
Indonesia,Jakarta Raya,30,2017,1
Indonesia,Jambi,30,2017,86203
Indonesia,Jawa Barat,30,2017,5646
Indonesia,Jawa Tengah,30,2017,3457
Indonesia,Jawa Timur,30,2017,4712
Indonesia,Kalimantan Barat,30,2017,181331
Indonesia,Kalimantan Selatan,30,2017,37465
Indonesia,Kalimantan Tengah,30,2017,102894
Indonesia,Kalimantan Timur,30,2017,134298
Indonesia,Kalimantan Utara,30,2017,33775
Indonesia,Kepulauan Riau,30,2017,7993
Indonesia,Lampung,30,2017,11762
Indonesia,Maluku,30,2017,7334
Indonesia,Maluku Utara,30,2017,10589
Indonesia,Nusa Tenggara Barat,30,2017,6195
Indonesia,Nusa Tenggara Timur,30,2017,10350
Indonesia,Papua,30,2017,49616
Indonesia,Papua Barat,30,2017,15891
Indonesia,Riau,30,2017,123675
Indonesia,Sulawesi Barat,30,2017,12565
Indonesia,Sulawesi Selatan,30,2017,24050
Indonesia,Sulawesi Tengah,30,2017,36947
Indonesia,Sulawesi Tenggara,30,2017,27135
Indonesia,Sulawesi Utara,30,2017,5776
Indonesia,Sumatera Barat,30,2017,51511
Indonesia,Sumatera Selatan,30,2017,124660
Indonesia,Sumatera Utara,30,2017,74551
Indonesia,Yogyakarta,30,2017,108
Indonesia,Aceh,30,2018,46111
Indonesia,Bali,30,2018,303
Indonesia,Bangka Belitung,30,2018,22426
Indonesia,Banten,30,2018,3400
Indonesia,Bengkulu,30,2018,24625
Indonesia,Gorontalo,30,2018,8006
Indonesia,Jakarta Raya,30,2018,0
Indonesia,Jambi,30,2018,69979
Indonesia,Jawa Barat,30,2018,4509
Indonesia,Jawa Tengah,30,2018,2574
Indonesia,Jawa Timur,30,2018,4290
Indonesia,Kalimantan Barat,30,2018,159316
Indonesia,Kalimantan Selatan,30,2018,37578
Indonesia,Kalimantan Tengah,30,2018,110369
Indonesia,Kalimantan Timur,30,2018,147742
Indonesia,Kalimantan Utara,30,2018,36812
Indonesia,Kepulauan Riau,30,2018,6267
Indonesia,Lampung,30,2018,10335
Indonesia,Maluku,30,2018,11187
Indonesia,Maluku Utara,30,2018,12375
Indonesia,Nusa Tenggara Barat,30,2018,8144
Indonesia,Nusa Tenggara Timur,30,2018,5183
Indonesia,Papua,30,2018,34779
Indonesia,Papua Barat,30,2018,20510
Indonesia,Riau,30,2018,101107
Indonesia,Sulawesi Barat,30,2018,12974
Indonesia,Sulawesi Selatan,30,2018,19442
Indonesia,Sulawesi Tengah,30,2018,37526
Indonesia,Sulawesi Tenggara,30,2018,24213
Indonesia,Sulawesi Utara,30,2018,7455
Indonesia,Sumatera Barat,30,2018,37400
Indonesia,Sumatera Selatan,30,2018,125459
Indonesia,Sumatera Utara,30,2018,66197
Indonesia,Yogyakarta,30,2018,139
Indonesia,Aceh,30,2019,28562
Indonesia,Bali,30,2019,705
Indonesia,Bangka Belitung,30,2019,25529
Indonesia,Banten,30,2019,4714
Indonesia,Bengkulu,30,2019,18201
Indonesia,Gorontalo,30,2019,10959
Indonesia,Jakarta Raya,30,2019,0
Indonesia,Jambi,30,2019,67673
Indonesia,Jawa Barat,30,2019,6974
